X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,urban
-81.3520090000916,28.5971059996977,211,WPK,"Winter Park, Florida",Winter Park,FL,12,YES
-77.4813040001902,37.7595959997539,212,ASD,"Ashland, Virginia",Ashland,VA,51,YES
-103.620925999573,48.143,213,WTN,"Williston, North Dakota",Williston,ND,38,
-120.074979999888,37.0224710002054,214,MDR,"Madera, California",Madera,CA,06,
-110.966770000231,32.222977000359,215,TUS,"Tucson, Arizona",Tucson,AZ,04,YES
-69.9654940001811,43.9112450000997,216,BRK,Visitor's Center,Brunswick,ME,23,
-94.3779719996242,38.9126230001778,217,LEE,"Lees Summit, Missouri",Lees Summit,MO,29,YES
-83.1470100001507,42.4884390002803,218,ROY,"Royal Oak, Michigan",Royal Oak,MI,26,YES
-91.2472979998016,43.8331549999829,219,LSE,"LaCrosse, Wisconsin",La Crosse,WI,55,YES
-88.5471099998564,39.1170589998887,220,EFG,"Effingham, Illinois",Effingham,IL,17,
-122.953061999876,46.7174699999125,221,CTL,"Centralia, Washington",Centralia,WA,53,
-80.1678840004112,26.0116409998994,222,HOL,"Hollywood, Florida",Hollywood,FL,12,YES
-71.9630930002786,41.3509339997277,223,MYS,"Mystic, Connecticut",Mystic,CT,09,YES
-73.9022629997253,40.9355859997151,224,YNY,"Yonkers, New York",Yonkers,NY,36,YES
-80.1221469999658,26.3170690001715,225,DFB,"Deerfield Beach, Florida",Deerfield Beach,FL,12,YES
-91.4325580001217,38.707283000292,226,HEM,"Hermann, Missouri",Hermann,MO,29,
-79.4345309997979,36.0942249996495,227,BNC,"Burlington, North Carolina",Burlington,NC,37,YES
-89.117920000398,41.54958400012,228,MDT,"Mendota, Illinois",Mendota,IL,17,
-83.19102600009,42.5425550003267,229,TRM,"Troy, MI",Troy,MI,26,YES
-119.087728999934,46.2370120000588,230,PSC,"Pasco, Washington",Pasco,WA,53,YES
-84.3996699998174,42.2481130000062,231,JXN,"Jackson, Michigan",Jackson,MI,26,YES
-81.3524769998967,29.0178490001936,232,DLD,"Deland, Florida",DeLand,FL,12,
-78.9219959999212,40.3296890002493,233,JST,"Johnstown, Pennsylvania",Johnstown,PA,42,YES
-78.4016200002899,40.5144749999404,234,ALT,"Altoona, Pennsylvania",Altoona,PA,42,YES
-81.7348779999071,28.0021459996227,235,WTH,"Winter Haven, Florida",Winter Haven,FL,12,YES
-80.4663230002957,35.6674960000836,236,SAL,"Salisbury, North Carolina",Salisbury,NC,37,YES
-77.4725770001556,38.7500840000733,237,MSS,"Manassas, Virginia",Manassas,VA,51,YES
